athlete_id,athlete_display_name,team,pos,headshot,gp,min_pg,pts_pg,reb_pg,ast_pg,bpm,impact
4433174.0,Dylan Cardwell,SAC,C,https://a.espncdn.com/i/headshots/nba/players/full/4433174.png,44,20.7,5.41,7.55,1.41,-0.83,-0.36
4066399.0,Micah Potter,IND,C,https://a.espncdn.com/i/headshots/nba/players/full/4066399.png,47,19.3,9.74,4.96,1.47,-0.84,-0.34
4398207.0,Jalen Slawson,IND,F,https://a.espncdn.com/i/headshots/nba/players/full/4398207.png,13,23.92,7.31,4.38,2.77,-0.85,-0.42
5211983.0,Pacome Dadiet,NYK,F,https://a.espncdn.com/i/headshots/nba/players/full/5211983.png,28,4.93,1.71,0.96,0.43,-0.88,-0.09
4066436.0,De'Anthony Melton,GSW,G,https://a.espncdn.com/i/headshots/nba/players/full/4066436.png,49,23.0,12.29,3.22,2.55,-0.88,-0.42
4683634.0,Bennedict Mathurin,IND,G,https://a.espncdn.com/i/headshots/nba/players/full/4683634.png,54,29.96,17.57,5.43,2.39,-0.89,-0.56
4278053.0,Davion Mitchell,MIA,G,https://a.espncdn.com/i/headshots/nba/players/full/4278053.png,70,28.57,9.34,2.67,6.47,-0.9,-0.54
4397183.0,Aaron Wiggins,ATL,G,https://a.espncdn.com/i/headshots/nba/players/full/4397183.png,65,21.8,9.4,3.06,1.68,-0.9,-0.41
4278129.0,Deandre Ayton,WAS,C,https://a.espncdn.com/i/headshots/nba/players/full/4278129.png,72,27.26,12.46,7.99,0.82,-0.9,-0.51
3133628.0,Myles Turner,MIL,C,https://a.espncdn.com/i/headshots/nba/players/full/3133628.png,71,26.9,11.92,5.32,1.45,-0.9,-0.5
3449.0,Kevin Love,UTA,F,https://a.espncdn.com/i/headshots/nba/players/full/3449.png,37,16.49,6.7,5.81,1.81,-0.92,-0.32
4431684.0,Trayce Jackson-Davis,GSW,F,https://a.espncdn.com/i/headshots/nba/players/full/4431684.png,52,9.6,3.48,2.77,0.75,-0.94,-0.19
4683834.0,KJ Simpson,CHA,G,https://a.espncdn.com/i/headshots/nba/players/full/4683834.png,20,12.85,4.55,1.85,2.15,-0.96,-0.26
2991070.0,Jerami Grant,MEM,F,https://a.espncdn.com/i/headshots/nba/players/full/2991070.png,57,29.77,18.6,3.47,2.14,-0.99,-0.61
